Author,Reported_Degree,Actual_Degree,Strength
Yuanfeng Song,20,20,27
Yunze Song,6,6,10
C. Zhang,6,6,10
Yining Huang,2,2,2
Keke Tang,6,6,6
Meilian Chen,2,2,2
Zefang Liu,1,1,1
Jiahua Luo,1,1,1
David Rodríguez Torrado,3,3,3
Ian Yang,3,3,3
J. M. D. Álamo,3,3,3
Norman Sadeh,3,3,3
Bingxin Zhou,14,14,19
Bozitao Zhong,9,9,9
Lirong Zheng,9,9,9
Jiangjian Guo,3,3,3
Xinyi Li,6,6,8
Yongfeng Zhang,28,28,39
E. Malthouse,2,2,4
Ruei-Shan Lu,2,2,2
Ching-Chang Lin,2,2,2
Hsiu-Yuan Tsao,2,2,2
Sandeep Chataut,6,6,6
Tuyen Do,6,6,6
Bichar Dip Shrestha Gurung,6,6,6
Shiva Aryal,6,6,6
Anup Khanal,6,6,6
Carol Lushbough,6,6,6
Etienne Z. Gnimpieba,6,6,6
Lei Gao,7,7,7
Yue Niu,4,4,4
Tingting Tang,4,4,4
A. Avestimehr,4,4,4
Murali Annavaram,4,4,4
Haotian Xia,12,12,18
Zhengbang Yang,12,12,18
Rhys Tracy,12,12,18
Yun Zhao,12,12,19
Dongdong Huang,9,9,9
Zezhi Chen,9,9,9
Yan Zhu,15,15,15
Yuan-fang Wang,12,12,18
Weining Shen,12,12,18
Tasnim Ahmed,3,3,4
Salimur Choudhury,3,3,4
Weizhe Chen,2,2,2
Sven Koenig,2,2,2
B. Dilkina,2,2,2
Zhiquan Tan,4,4,4
Chenghai Li,4,4,4
Weiran Huang,8,8,8
Wesley Morris,5,5,5
Scott A. Crossley,5,5,5
Langdon Holmes,5,5,5
Chaohua Ou,5,5,5
Mihai Dascalu,5,5,5
Danielle S. McNamara,5,5,5
Xinyi Mou,4,4,4
Zejun Li,4,4,4
Hanjia Lyu,4,4,4
Wangtao Sun,6,6,6
Xuanqing Yu,6,6,6
Pei Chen,17,17,17
Chang Liu,92,92,92
Som Sagar,2,2,2
Aditya Taparia,2,2,2
Ransalu Senanayake,2,2,2
Qi Xin,10,10,10
Quyu Kong,10,10,10
Hongyi Ji,10,10,10
Yue Shen,10,10,10
Yuqi Liu,29,29,29
Yan Sun,19,19,19
Zhilin Zhang,10,10,10
Zhaorong Li,26,26,26
Xunlong Xia,10,10,10
Bing Deng,10,10,10
Yinqi Bai,10,10,10
Yanyan Zhao,15,15,23
Shilong Wang,7,7,7
Tian Zheng,7,7,7
Jizhi Zhang,9,9,10
Yang Zhang,76,76,83
Xinyue Huo,5,5,5
Chong Chen,15,15,15
H. Khorashadizadeh,10,10,13
Fatima Zahra Amara,9,9,9
M. Ezzabady,9,9,9
Frédéric Ieng,9,9,9
Sanju Tiwari,9,9,9
Nandana Mihindukulasooriya,46,46,78
Jinghua Groppe,10,10,13
S. Sahri,15,15,16
Farah Benamara,11,11,11
Sven Groppe,16,16,20
Ilker Gul,2,2,2
K. Aberer,2,2,2
Kai Zhen,4,4,4
Ershad Banijamali,4,4,4
Athanasios Mouchtaris,4,4,4
Nan Xue,7,7,7
Yaping Sun,7,7,7
Zhiyong Chen,7,7,7
Meixia Tao,7,7,7
Xiaodong Xu,7,7,7
Liang Qian,7,7,7
Shuguang Cui,7,7,7
Nicola Piovesan,7,7,7
Antonio De Domenico,3,3,3
Zhiqiang Zhong,2,2,2
Kuangyu Zhou,2,2,2
Davide Mottin,2,2,2
Nooshin Pourkamali,1,1,1
Shler Ebrahim Sharifi,1,1,1
Yixin Ji,6,6,6
Zhongyi Liu,6,6,6
Behnam Mohammadi,0,0,0
Xinyu Zhu,10,10,10
Cheng Yang,52,52,58
Chufan Shi,12,12,14
Yadong Xi,10,10,10
Yuxiang Zhang,16,16,16
Jiashu Pu,10,10,10
Rongsheng Zhang,13,13,13
Tian Feng,10,10,10
Emre Onal,4,4,4
Klemens Flöge,4,4,4
Emma Caldwell,4,4,4
A. Sheverdin,4,4,4
Vincent Fortuin,8,8,8
Minda Hu,5,5,5
Bowei He,5,5,5
Liangyou Li,15,15,17
Chen Ma,8,8,8
A. C. Curry,6,6,8
M. Pternea,6,6,6
Prerna Singh,6,6,6
Abir Chakraborty,6,6,6
Y. Oruganti,6,6,6
M. Milletarí,6,6,6
Sayli Bapat,6,6,6
Kebei Jiang,6,6,6
Ioana-Anca Ieremie,2,2,2
Rob M. Ewing,2,2,2
Mahesan Niranjan,2,2,2
Yizhuo Cui,1,1,1
Maocheng Liang,1,1,1
Israel Abebe Azime,64,64,69
Tadesse Destaw Belay,16,16,25
M. Yigezu,12,12,12
Moges Ahmed Mehamed,13,13,18
A. Ayele,16,16,25
Ebrahim Chekol Jibril,13,13,13
Michael Melese Woldeyohannis,13,13,13
Olga Kolesnikova,17,17,18
Philipp Slusallek,12,12,12
D. Klakow,27,27,35
Shengwu Xiong,12,12,12
Seid Muhie Yimam,16,16,25
Feng Zhu,21,21,21
Lu Yu,5,5,5
Longfei Li,24,24,29
Jinjie Gu,11,11,13
Chenyue Li,4,4,4
Patrick Amadeus Irawan,4,4,4
En-Shiun Annie Lee,11,11,12
Sutrisno Sadji Evenddy,0,0,0
Abdulroya Benseng,1,1,1
Sakirin Tam,1,1,1
Xing Zhong,0,0,0
Tongxin Yuan,3,3,3
Haodong Zhao,5,5,7
Yougang Lyu,13,13,15
M. D. Rijke,47,47,50
Zhaochun Ren,17,17,23
Minghuan Tan,11,11,11
Yuelin Bai,11,11,11
Fuqiang Niu,11,11,11
Xiaojun Chen,17,17,17
Ye Li,18,18,18
Jianping Fan,20,20,20
Bishwaranjan Bhattacharjee,33,33,33
Aashka Trivedi,33,33,33
Masayasu Muraoka,33,33,33
Muthukumaran Ramasubramanian,33,33,33
Takuma Udagawa,34,34,35
I. Gurung,36,36,37
Rong Zhang,47,47,48
Bharath Dandala,60,60,60
Rahul Ramachandran,33,33,33
M. Maskey,36,36,37
Kayleen Bugbee,33,33,33
Mike Little,33,33,33
Elizabeth Fancher,33,33,33
Lauren Sanders,33,33,33
Sylvain Costes,33,33,33
Sergi Blanco-Cuaresma,48,48,49
Kelly Lockhart,33,33,33
Thomas Allen,33,33,33
Felix Grazes,33,33,33
Megan Ansdel,33,33,33
A. Accomazzi,48,48,49
Yousef El-Kurdi,33,33,33
Davis Wertheimer,33,33,33
Birgit M. Pfitzmann,33,33,33
Cesar Berrospi Ramis,33,33,33
Michele Dolfi,33,33,33
Rafael Teixeira de Lima,33,33,33
Panos Vegenas,33,33,33
S. K. Mukkavilli,33,33,33
P. Staar,35,35,35
S. Vahidinia,33,33,33
Ryan McGranaghan,33,33,33
A. Mehrabian,36,36,36
Tsendgar Lee,33,33,33
Ned Cooper,2,2,2
Courtney Heldreth,2,2,2
Hongchuan Zeng,3,3,3
Adrien Bazoge,11,11,19
Oumaima El Khettari,10,10,10
Mickael Rouvier,32,32,39
Pacome Constant dit Beaufils,10,10,10
Natalia Grabar,10,10,10
B. Daille,14,14,22
Solen Quiniou,10,10,10
Emmanuel Morin,10,10,13
P. Gourraud,11,11,19
Richard Dufour,11,11,18
Mikhail Konenkov,11,11,13
Artem Lykov,18,18,28
Daria Trinitatova,3,3,3
Dzmitry Tsetserukou,18,18,31
Ahmed Soliman,3,3,4
Samir Shaheen,2,2,2
M. Hadhoud,3,3,4
Jusung Lee,3,3,3
Sungguk Cha,3,3,3
Younghyun Lee,3,3,3
Cheoljong Yang,3,3,3
M. Alrefaie,2,2,2
Nour Eldin Morsy,2,2,2
Nada Samir,2,2,2
Jiajia Liu,6,6,6
Mengyuan Yang,6,6,6
Yankai Yu,6,6,6
Haixia Xu,6,6,6
Tiangang Wang,6,6,6
Kang Li,9,9,9
Xiaobo Zhou,9,9,9
Zhe Li,8,8,8
Weixiang Xu,8,8,8
Zeyu Zhu,8,8,8
E. Barsoum,8,8,8
Peisong Wang,8,8,8
Jian Cheng,17,17,17
H. T. Kesgin,1,1,2
M. Amasyalı,3,3,4
Ehsan Latif,0,0,0
Guy Amit,3,3,4
Abigail Goldsteen,3,3,4
Ariel Farkash,2,2,2
Atqiya Munawara Mahi,4,4,4
Phuoc Nguyen,4,4,4
Zeydy Ortiz,4,4,4
Mamoun T. Mardini,4,4,4
Francesco Ronzano,10,10,10
Jude LaFleur,10,10,10
Matthew Garber,10,10,10
Rodrigo de Oliveira,10,10,10
Kathryn Rough,10,10,10
Katharine Roth,10,10,10
Jay Nanavati,10,10,10
Khaldoun Zine,10,10,10
El Abidine,10,10,10
Christina Mack,10,10,10
Kerim Büyükakyüz,0,0,0
Frederic Voigt,2,2,2
Kai von Luck,2,2,2
P. Stelldinger,2,2,2
Peng Ding,8,8,8
Jiading Fang,8,8,8
Kangrui Wang,9,9,11
Xiaochen Zhou,10,10,13
Jing Li,133,133,136
Matthew R. Walter,8,8,8
Hongyuan Mei,11,11,16
Savaş Yıldırım,0,0,0
Guangya Wan,4,4,4
Yunsheng Lu,4,4,4
Mengxuan Hu,4,4,4
Sheng Li,39,39,44
HeeSeok Jung,3,3,3
Jaesang Yoo,3,3,3
Yohaan Yoon,3,3,3
Y. Jang,3,3,3
Stephen Burabari Tete,0,0,0
Lazzat Konyrova,0,0,0
Yao Qiang,6,6,6
Subhrangshu Nandi,6,6,6
Ninareh Mehrabi,11,11,14
G. V. Steeg,7,7,8
Anoop Kumar,6,6,6
Anna Rumshisky,7,7,7
A. Galstyan,25,25,29
Fangzhi Xu,29,29,38
Qiushi Sun,36,36,49
Kanzhi Cheng,22,22,25
Jing-Cheng Pang,9,9,12
Si-Hang Yang,6,6,6
Kaiyuan Li,9,9,12
Jiaji Zhang,6,6,6
Xiong-Hui Chen,9,9,12
Nan Tang,12,12,12
Yang Yu,10,10,13
Shan Chen,28,28,29
J. Gallifant,34,34,37
Mingye Gao,23,23,23
Pedro Moreira,14,14,14
Nikolaj Munch,14,14,14
Ajay Muthukkumar,14,14,14
Arvind Rajan,14,14,14
Jaya Kolluri,14,14,14
Amelia Fiske,24,24,26
Janna Hastings,14,14,14
Hugo J. W. L. Aerts,14,14,14
Brian Anthony,14,14,14
L. A. Celi,24,24,26
William G. La Cava,14,14,14
D. Bitterman,27,27,33
Jingxi Li,9,9,9
Zhuangdi Zhu,9,9,9
Hanjie Chen,22,22,23
Yudong Li,41,41,42
Yuhao Feng,6,6,6
Wen Zhou,6,6,6
Zhe Zhao,32,32,33
LinLin Shen,6,6,6
Cheng Hou,6,6,6
Xianxu Hou,6,6,6
Yatendra Prasad Upreti,2,2,2
Lakshmi Boppana,2,2,2
Thennal D K,2,2,2
Ganesh Nathan,2,2,2
Suchithra M S,2,2,2
Dhivvya J P,1,1,1
Sai Bhargav Karnati,1,1,1
Sana Ebrahimi,4,4,4
Kaiwen Chen,6,6,7
Abolfazl Asudeh,4,4,4
Gautam Das,4,4,4
Nick Koudas,10,10,11
Lu-lu Zhang,6,6,6
Jianhua Shu,10,10,11
Jili Hu,6,6,6
Fangfang Li,14,14,15
Karl Swanson,9,9,9
Shuhan He,9,9,9
Josh Calvano,9,9,9
David Chen,9,9,9
Talar Telvizian,9,9,9
Lawrence Jiang,9,9,9
Paul Chong,9,9,9
Jacob Schwell,9,9,9
Gin Mak,9,9,9
Jarone Lee,9,9,9
Faisal Qarah,1,1,1
Tawfeeq Alsanoosy,4,4,4
Cheng Deng,30,30,42
Le Zhou,22,22,34
Tianhang Zhang,22,22,34
Yutong Xu,22,22,22
Zhongmou He,22,22,34
Yuanyuan Shi,22,22,34
Beiya Dai,22,22,22
Yunchong Song,22,22,22
Boyi Zeng,22,22,22
Qiyuan Chen,22,22,34
Tao Shi,22,22,22
Tianyu Huang,22,22,22
Yiwei Xu,22,22,22
Shu Wang,27,27,32
Luoyi Fu,22,22,34
Weinan Zhang,71,71,92
Junxian He,53,53,66
Chao Ma,22,22,22
Yunqiang Zhu,25,25,25
Xinbing Wang,22,22,34
Cheng Zhou,22,22,34
Zhaohu Xing,4,4,4
Tian Ye,4,4,4
Yijun Yang,4,4,4
Guang Liu,4,4,4
Lei Zhu,9,9,9
Simone Balloccu,17,17,22
Patr'icia Schmidtov'a,10,10,11
Mateusz Lango,4,4,5
Ondrej Dusek,127,127,128
Shivalika Singh,32,32,32
Freddie Vargus,32,32,32
Daniel Dsouza,32,32,32
Börje F. Karlsson,32,32,32
Abinaya Mahendiran,152,152,155
Wei-Yin Ko,32,32,32
Herumb Shandilya,32,32,32
Jay Patel,32,32,32
Deividas Mataciunas,32,32,32
Laura OMahony,32,32,32
Mike Zhang,39,39,44
Ramith Hettiarachchi,32,32,32
Joseph Wilson,36,36,36
Marina Machado,32,32,32
Luisa Souza Moura,32,32,32
Dominik Krzemi'nski,32,32,32
Hakimeh Fadaei,32,32,32
Irem Ergun,32,32,32
Ifeoma Okoh,32,32,32
Aisha Alaagib,32,32,32
Oshan Mudannayake,32,32,32
Surya Guthikonda,32,32,32
Emad A. Alghamdi,32,32,32
Max Bartolo,48,48,48
Julia Kreutzer,105,105,110
A. Ustun,38,38,38
Marzieh Fadaee,35,35,36
Sara Hooker,52,52,53
Kamal Berahmand,4,4,4
Fatemeh Daneshfar,4,4,4
Elaheh Sadat Salehi,4,4,4
Yuefeng Li,4,4,4
Yue Xu,7,7,7
Priyanka Neelakrishnan,0,0,0
Molly Bekbolatova,3,3,3
Jonathan Mayer,3,3,3
Chiwei Ong,3,3,3
Milan Toma,3,3,3
Yichi Zhang,58,58,78
Zhenrong Shen,2,2,2
Rushi Jiao,2,2,3
Jingwei Huang,18,18,18
Donghan M. Yang,13,13,13
Ruichen Rong,13,13,13
K. Nezafati,13,13,13
Colin Treager,13,13,13
Zhikai Chi,13,13,13
Shidan Wang,13,13,13
Xian Cheng,13,13,13
Yujia Guo,13,13,13
Laura J Klesse,13,13,13
Guanghua Xiao,13,13,13
Eric D. Peterson,13,13,13
Xiaowei Zhan,13,13,13
Yang Xie,13,13,13
Sodiq Odetunde Babatunde,3,3,3
Opeyemi Abayomi Odejide,3,3,4
Tolulope Esther Edunjobi,3,3,4
Damilola Oluwaseun Ogundipe,3,3,3
Aoran Gan,8,8,12
Shiwei Tong,8,8,12
Zhaofeng Liu,5,5,5
Xing-ming Guo,4,4,4
Fangxu Yu,4,4,4
Lianhui Qin,25,25,25
Tianze Yang,11,11,11
Hanlei Jin,4,4,4
Dan Meng,4,4,4
Jinghua Tan,4,4,4
R. Pérez-López,3,3,3
N. Ghaffari Laleh,3,3,3
Faisal Mahmood,3,3,3
Hongruixuan Chen,9,9,9
Jian Song,13,13,16
Chengxi Han,4,4,4
Junshi Xia,4,4,4
Naoto Yokoya,4,4,4
Remi Genet,1,1,1
Hugo Inzirillo,1,1,1
Md. Saef Ullah Miah,10,10,11
Talha Bin Sarwar,10,10,11
Mejdl S. Safran,5,5,5
Sultan Alfarhood,5,5,5
Xinru Wang,7,7,7
H. Kim,26,26,26
Sajjadur Rahman,4,4,4
Kushan Mitra,4,4,4
Zhengjie Miao,4,4,4
Md. Ashraful Islam,2,2,2
Mohammed Eunus Ali,3,3,4
Md. Rizwan Parvez,3,3,3
Malek Elhaddad,1,1,1
Sara Hamam,1,1,1
Fanghua Ye,7,7,7
Mingming Yang,7,7,7
Jianhui Pang,7,7,7
Derek F. Wong,14,14,17
Emine Yilmaz,12,12,12
Shuming Shi,23,23,31
Zhaopeng Tu,32,32,44
Hou-I Liu,6,6,6
Marco Galindo,6,6,6
Hongxia Xie,10,10,12
Lai-Kuan Wong,6,6,6
Hong-Han Shuai,17,17,21
Yung-Hui Li,6,6,6
Wen-Huang Cheng,25,25,29
Yihua Zhang,17,17,18
Pingzhi Li,12,12,12
Junyuan Hong,12,12,12
Jiaxiang Li,12,12,12
Yimeng Zhang,12,12,12
Wenqing Zheng,17,17,18
Jason D. Lee,20,20,20
Wotao Yin,12,12,12
Mingyi Hong,12,12,12
Zhangyang Wang,39,39,42
Sijia Liu,88,88,138
Tianlong Chen,28,28,30
Jaehyung Kim,12,12,17
Jaehyun Nam,7,7,7
Sangwoo Mo,10,10,13
Jongjin Park,7,7,7
Sang-Woo Lee,11,11,11
Jung-Woo Ha,10,10,13
Jinwoo Shin,12,12,17
Nicholas Lee,8,8,8
Thanakul Wattanawong,8,8,8
Sehoon Kim,17,17,29
K. Mangalam,11,11,14
G. Anumanchipalli,14,14,14
Michael W. Mahoney,33,33,59
Kurt Keutzer,15,15,15
A. Gholami,24,24,50
Francisca Chibugo Udegbe,3,3,3
Ogochukwu Roseline Ebulue,3,3,3
Charles Chukwudalu Ebulue,3,3,3
Chukwunonso Sylvester Ekesiobi,3,3,3
Nikhil Kumar,5,5,5
Vishal Sharma,2,2,2
Aman Sharma,2,2,2
Obinna Donald,6,6,6
Alexander Obaigbena,6,6,6
Oluwaseun Augustine Lottu,6,6,6
E. D. Ugwuanyi,6,6,6
Boma Sonimitiem Jacks,6,6,6
Enoch Oluwademilade Sodiya,6,6,6
Obinna Donald Daraojimba,6,6,6
Shiao Wang,15,15,15
Yuhe Ding,15,15,15
Yuehang Li,15,15,15
Wentao Wu,15,15,15
Yao Rong,15,15,15
Weizhe Kong,15,15,15
Ju Huang,15,15,15
Shihao Li,15,15,15
Haoxiang Yang,15,15,15
Ziwen Wang,15,15,15
Bowei Jiang,15,15,15
Chenglong Li,15,15,15
Jin Tang,15,15,15
Raunak Kandoi,3,3,3
Deepali Dixit,3,3,3
Mihul Tyagi,3,3,3
Raghuraj Singh Yadav,3,3,3
Yuchen Duan,9,9,9
Weiyun Wang,9,9,9
Zhe Chen,30,30,30
Xizhou Zhu,16,16,20
Lewei Lu,16,16,20
Tong Lu,19,19,19
Jifeng Dai,16,16,20
Nsisong Louis,1,1,1
Eyo-Udo,1,1,1
Jing Wu,23,23,23
Suiyao Chen,11,11,11
Renat Sergazinov,11,11,11
Chen Li,94,94,96
Shengjie Liu,11,11,11
Chongchao Zhao,11,11,11
Tianpei Xie,11,11,11
Hanqing Guo,11,11,11
Cheng Ji,36,36,37
Daniel Cociorva,11,11,11
Hakan Brunzel,11,11,11
Qiquan Zhang,8,8,8
Hexin Liu,8,8,8
Tianyi Xiao,8,8,8
Xinyuan Qian,8,8,8
E. Ambikairajah,8,8,8
Haizhou Li,13,13,13
Aydar Bulatov,7,7,11
Petr Anokhin,6,6,6
Ivan Rodkin,6,6,6
Dmitry Sorokin,6,6,6
Artyom Sorokin,6,6,6
Debjyoti Mondal,4,4,4
Suraj Modi,4,4,4
Subhadarshi Panda,13,13,13
Rituraj Singh,4,4,4
Godawari Sudhakar Rao,4,4,4
Can Jin,4,4,4
Tong Che,4,4,4
Hongwu Peng,15,15,16
Yiyuan Li,27,27,27
Marco Pavone,16,16,16
Jun Du,13,13,13
Tianyi Lin,5,5,5
Chunxiao Jiang,10,10,10
Qianqian Yang,5,5,5
Faouzi Bader,5,5,5
Zhu Han,5,5,5
Ezekiel Onyekachukwu Udeh,3,3,3
Prisca Amajuoyi,3,3,3
Kudirat Bukola Adeusi,3,3,3
Anwulika Ogechukwu Scott,3,3,3
A. Alhur,0,0,0
Riccardo Grazzi,4,4,4
Julien N. Siems,4,4,4
Simon Schrodi,4,4,4
Thomas Brox,4,4,4
Amina Catherine Ijiga,4,4,4
Enoch Joseph Aboi,4,4,4
Idoko Peter Idoko,4,4,4
L. A. Enyejo,4,4,4
Micheal Olumubo Odeyemi,4,4,4
Haihong Zhao,4,4,4
Aochuan Chen,4,4,4
Xiangguo Sun,10,10,13
Hong Cheng,15,15,17
Md. Shofiqul Islam,6,6,6
Muhammad Nomani Kabir,6,6,6
Ngahzaifa Ab Ghani,6,6,6
K. Z. Zamli,12,12,12
Nor Saradatul Akmar Zulkifli,6,6,6
Md. Mustafizur Rahman,6,6,6
M. A. Moni,6,6,6
Zackary Rackauckas,0,0,0
Tianyang Xu,6,6,6
Shujin Wu,6,6,6
Shizhe Diao,10,10,10
Xiaoze Liu,6,6,6
Xingyao Wang,16,16,16
Yangyi Chen,19,19,23
Jing Gao,23,23,28
Philip Olaseni Shoetan,1,1,1
Babajide Tolulope Familoni,1,1,1
Yulia A. Levites Strekalova,12,12,12
Juan S Osorio-Valencia,12,12,12
Rachael L. Parke,12,12,12
Rogers Mwavu,12,12,12
Nicole Martinez,12,12,12
J. Gichoya,36,36,38
Marzyeh Ghassemi,12,12,12
Dina Demner-Fushman,18,18,19
Liam G. McCoy,12,12,12
Robin L Pierce,12,12,12
B. N. Patro,1,1,1
Vijay Agneeswaran,1,1,1
Nicole C. Kleinstreuer,1,1,1
Thomas Hartung,1,1,1
Mingqi Gao,4,4,4
Xinyu Hu,7,7,7
Jie Ruan,4,4,4
Xiao Pu,4,4,4
Xiaojun Wan,46,46,46
J. Habicht,5,5,5
Sruthi Viswanathan,5,5,5
Ben Carrington,5,5,5
Tobias U Hauser,5,5,5
Ross Harper,5,5,5
Max Rollwage,5,5,5
Yuheng Shi,2,2,2
Minjing Dong,2,2,2
Chang Xu,19,19,20
Olorunyomi Stephen Joel,3,3,3
Adedoyin Tolulope Oyewole,3,3,3
Olusegun Gbenga Odunaiya,6,6,7
Oluwatobi Timothy Soyombo,6,6,7
Donald Obinna Daraojimba,5,5,5
Adebunmi Okechukwu Adewusi,5,5,5
U. Okoli,5,5,5
Temidayo Olorunsogo,5,5,5
E. Adaga,5,5,5
Ogugua Chimezie Obi,5,5,5
Craig W. Schmidt,6,6,9
Varshini Reddy,6,6,9
Alec Alameddine,6,6,6
Omri Uzan,6,6,6
Yuval Pinter,8,8,11
Chris Tanner,6,6,9
Olubusola Odeyemi,5,5,5
Omotayo Bukola Adeoye,5,5,5
Adeola Olusola Ajayi-Nifise,5,5,5
Mona M. Soliman,3,3,3
Eman Ahmed,3,3,3
A. Darwish,3,3,3
A. Hassanien,3,3,3
Hadrien T. Gayap,1,1,1
Yanyu Chen,2,2,2
Qian Li,56,56,76
JunYi Liu,2,2,2
Dayou Du,6,6,6
Yijia Zhang,10,10,10
Shijie Cao,6,6,6
Jiaqi Guo,16,16,19
Ting Cao,6,6,6
Xiaowen Chu,6,6,6
Ningyi Xu,6,6,6
Jiwon Song,5,5,5
Kyungseok Oh,5,5,5
Taesu Kim,5,5,5
Hyungjun Kim,5,5,5
Yulhwa Kim,5,5,5
Jae-Joon kim,5,5,5
Qiumei Pu,4,4,4
Zuoxin Xi,4,4,4
Shuai Yin,4,4,4
Lina Zhao,4,4,4
Jiajia Wang,6,6,6
Xinhui Tu,8,8,8
Junmei Wang,6,6,6
Angela J. Huang,6,6,6
Amran Bhuiyan,6,6,6
Weilian Zhou,4,4,4
Sei-ichiro Kamata,4,4,4
Haipeng Wang,4,4,4
Man-Sing Wong,4,4,4
H. Hou,18,18,18
Sontan Adewale,2,2,2
Daniel,2,2,2
Segun Victor Samuel,2,2,2
Dizhan Xue,3,3,3
Shengjie Zhang,3,3,3
Shengsheng Qian,3,3,3
Jianyuan Guo,15,15,21
Zhijun Tu,6,6,6
Kai Han,15,15,18
Hailin Hu,6,6,6
Elham Albaroudi,2,2,2
Taha Mansouri,2,2,2
Ali Alameer,2,2,2
Xiao Liu,46,46,50
Chenxu Zhang,2,2,2
FAHIM FAISAL,16,16,19
Orevaoghene Ahia,80,80,86
Aarohi Srivastava,6,6,6
Kabir Ahuja,18,18,19
Yulia Tsvetkov,37,37,43
Hashir Ali,3,3,3
Ehtesham Hashmi,3,3,3
Sule Yayilgan Yildirim,3,3,3
Sarang Shaikh,3,3,3
Haoxiang Gao,4,4,4
Yaqian Li,4,4,4
Kaiwen Long,4,4,4
Romain Ilbert,6,6,6
Vasilii Feofanov,6,6,6
Aladin Virmaux,6,6,6
Giuseppe Paolo,6,6,6
Themis Palpanas,6,6,6
Ziqi Yin,4,4,4
Kaito Horio,4,4,4
Daisuke Kawahara,12,12,13
Satoshi Sekine,4,4,4
Xikang Yang,3,3,3
Xuehai Tang,3,3,3
Jizhong Han,3,3,3
Satyanarayan Kanungo,0,0,0
David Iyanuoluwa Ajiga,10,10,10
Ndubuisi Leonard Ndubuisi,5,5,5
Onyeka Franca Asuzu,5,5,5
Oluwaseyi Rita Owolabi,5,5,5
Tula Sunday Tubokirifuruar,5,5,5
Rhoda Adura Adeleye,5,5,5
Yingcong Li,4,4,4
Yixiao Huang,4,4,4
M. E. Ildiz,4,4,4
A. Rawat,23,23,32
Samet Oymak,9,9,9
Arash Heidari,3,3,3
Nima Jafari Navimipour,3,3,3
S. Zeadally,3,3,3
V. Chamola,3,3,3
Yichao Wu,4,4,4
Chenxi Shi,7,7,8
Penghao Liang,4,4,4
Tong Zhan,7,7,8
Xin Qi,4,4,4
Yuanchun Zhao,4,4,4
Zhuang Qi,4,4,4
Siyu Hou,4,4,4
Jiajia Chen,4,4,4
Md. Al-Amin,7,7,7
Mohammad Shazed Ali,7,7,7
Abdus Salam,7,7,7
Arif Khan,7,7,7
Ashraf Ali,7,7,7
Ahsan Ullah,7,7,7
Md Nur Alam,7,7,7
Shamsul Kabir Chowdhury,7,7,7
R. May,3,3,4
Octavio Rivera,2,2,2
Zhiyuan Xu,12,12,16
Kun Wu,6,6,6
Junjie Wen,12,12,16
Jinming Li,17,17,21
Zhengcong Fei,4,4,4
Mingyuan Fan,4,4,4
Changqian Yu,4,4,4
Debang Li,4,4,4
Junshi Huang,4,4,4
Shengzhe Xu,5,5,5
Christo Kurisummoottil Thomas,5,5,5
Omar Hashash,5,5,5
N. Muralidhar,5,5,5
Walid Saad,5,5,5
David Olanrewaju Olutimehin,4,4,4
Irunna Ejibe,4,4,4
Rushikesh Giri,2,2,2
Mihir Sirsath,2,2,2
Harshil T. Kanakia,2,2,2
Maciej Besta,15,15,15
Florim Memedi,15,15,15
Zhenyu Zhang,21,21,21
Robert Gerstenberger,15,15,15
Guangyuan Piao,15,15,15
Nils Blach,15,15,15
Piotr Nyczyk,15,15,15
Marcin Copik,15,15,15
Grzegorz Kwa'sniewski,15,15,15
Jurgen Muller,15,15,15
Lukas Gianinazzi,15,15,15
Aleš Kubíček,15,15,15
H. Niewiadomski,15,15,15
Aidan O'Mahony,15,15,15
Onur Mutlu,23,23,23
Kung-Hsiang Huang,10,10,12
Hou Pong Chan,25,25,27
Y. Fung,20,20,22
Haoyi Qiu,7,7,7
Mingyang Zhou,7,7,7
Shih-Fu Chang,10,10,11
Kangtong Mo,5,5,5
Wenyan Liu,5,5,5
Xuanzhen Xu,5,5,5
Chang Yu,5,5,5
Yuelin Zou,5,5,5
Fangqing Xia,5,5,5
Frederick J. King,15,15,15
Bin Zhou,26,26,26
Carter J Canedy,15,15,15
Joel Hayashi,15,15,15
Yang Zhong,15,15,15
Max W Chang,15,15,15
L. Pache,15,15,15
Julian L Wong,15,15,15
Yong Jia,15,15,15
John Joslin,15,15,15
Tao Jiang,34,34,34
Chris Benner,15,15,15
S. Chanda,15,15,15
Yingyao Zhou,15,15,15
Yijun Wu,7,7,12
Baijie Feng,6,6,11
Yuqi Yang,6,6,11
Kai Kang,15,15,20
Ailin Zhao,6,6,11
Hua Shen,29,29,29
Tiffany Knearem,23,23,23
Reshmi Ghosh,23,23,23
Kenan Alkiek,23,23,23
Kundan Krishna,25,25,26
Yachuan Liu,23,23,23
Ziqiao Ma,33,33,35
S. Petridis,24,24,25
Yi-Hao Peng,33,33,33
Li Qiwei,23,23,23
Sushrita Rakshit,23,23,23
Yutong Xie,34,34,34
Jeffrey P. Bigham,27,27,28
Frank Bentley,23,23,23
Zachary C. Lipton,23,23,23
Michael Terry,29,29,31
Diyi Yang,76,76,82
Meredith Ringel Morris,23,23,23
Paul Resnick,23,23,23
Gopal Kumar Thakur,4,4,4
Abhishek Thakur,4,4,4
Shridhar Kulkarni,4,4,4
Naseebia Khan,4,4,4
Shahnawaz Khan,7,7,7
Beatrice Oyinkansola Adelakun,5,5,5
Ebere Ruth Onwubuariri,3,3,3
